,Src Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Bwd Pkt Len Max,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Fwd PSH Flags,Bwd PSH Flags,Bwd Pkts/s,FIN Flag Cnt,SYN Flag Cnt,URG Flag Cnt,Down/Up Ratio,Active Mean,Idle Std
0,59273,6,12614875,12,7,1149.0,194.61152013000526,1.5061584042648064,700826.3888888889,0,0,0.5549004647291392,0,0,0,0.0,442216.0,0.0
1,57466,6,9409995,2,0,0.0,0.0,0.212539964,9409995.0,0,0,0.0,0,0,0,0.0,0.0,0.0
2,59327,17,1149,1,1,102.0,125326.37075718015,1740.6440382941687,1149.0,0,0,870.3220191470842,0,0,0,1.0,0.0,0.0
3,52528,6,1189,1,1,0.0,0.0,1682.0857863751053,1189.0,0,0,841.0428931875526,0,0,0,1.0,0.0,0.0
4,80,6,4125179,4,4,379.0,318.5316322031117,1.9393097851026584,589311.2857142858,0,0,0.9696548925513292,0,0,0,1.0,0.0,0.0
5,60655,6,19464789,2,0,0.0,0.0,0.10274963699999999,19500000.0,0,0,0.0,0,0,0,0.0,0.0,0.0
6,443,6,151,2,1,0.0,251655.62913907281,19867.54966887417,75.5,1,0,6622.516556291392,0,1,0,0.0,0.0,0.0
7,41796,6,24773,1,1,0.0,0.0,80.73305614984055,24773.0,0,0,40.36652807492028,0,0,0,1.0,0.0,0.0
8,80,6,4132642,4,4,359.0,313.1168874535951,1.935807650408625,590377.4285714286,0,0,0.9679038252043124,0,0,0,1.0,0.0,0.0
9,60132,6,14554,2,5,935.0,82039.3019101278,480.9674316339151,2425.6666666666665,0,0,343.5481654527965,0,1,0,2.0,0.0,0.0
10,80,6,4512518,4,4,308.0,275.45596494019526,1.7728461138548366,644645.4285714285,0,0,0.8864230569274183,0,0,0,1.0,0.0,0.0
11,52594,6,44382,2,1,0.0,0.0,67.5949709341625,22191.0,0,0,22.53165697805417,0,0,0,0.0,0.0,0.0
12,47962,6,46137,2,1,0.0,0.0,65.02373366278692,23068.5,0,0,21.67457788759564,0,0,0,0.0,0.0,0.0
13,443,6,5,1,1,0.0,0.0,400000.0,5.0,0,0,200000.0,0,0,1,1.0,0.0,0.0
14,63957,17,48887,2,2,136.0,7118.456849469185,81.82134309734694,16295.666666666668,0,0,40.91067154867347,0,0,0,1.0,0.0,0.0
15,443,6,1,2,0,0.0,0.0,2000000.0,1.0,0,0,0.0,0,0,0,0.0,0.0,0.0
16,50094,6,115839530,20,18,1460.0,48.86069548106765,0.3280400049965673,3130798.108108108,0,0,0.15538737078784765,0,0,0,0.0,52180.81818181816,52337.5318167826
17,64029,17,347,1,1,51.0,247838.61671469745,5763.688760806916,347.0,0,0,2881.844380403458,0,0,0,1.0,0.0,0.0
18,50106,6,16246818,7,9,989.0,224.78247740572957,0.9848082252167778,1083121.2,0,0,0.5539546266844375,0,0,0,1.0,3667335.0,0.0
19,51936,17,280,1,1,128.0,571428.5714285715,7142.857142857143,280.0,0,0,3571.4285714285716,0,0,0,1.0,0.0,0.0
20,57342,17,274,1,1,95.0,459854.01459854026,7299.270072992701,274.0,0,0,3649.6350364963505,0,0,0,1.0,0.0,0.0
21,80,6,12929,4,3,312.0,96449.84144172016,541.4185165132649,2154.833333333333,0,0,232.03650707711347,0,1,0,0.0,0.0,0.0
22,63514,17,420,1,1,49.0,195238.09523809524,4761.904761904762,420.0,0,0,2380.952380952381,0,0,0,1.0,0.0,0.0
23,48356,6,37113,1,1,0.0,0.0,53.88947269150972,37113.0,0,0,26.94473634575486,0,0,0,1.0,0.0,0.0
24,61216,17,89882,0,2,174.0,2558.91057163837,22.251396275116267,89882.0,0,0,22.251396275116267,0,0,0,0.0,0.0,0.0
25,53699,6,177140,3,1,0.0,0.0,22.58100937111889,59046.66666666668,0,0,5.645252342779722,0,0,0,0.0,0.0,0.0
26,62058,17,60860,0,2,117.0,2974.038777522182,32.86230693394676,60860.0,0,0,32.86230693394676,0,0,0,0.0,0.0,0.0
27,42442,6,2506,1,1,0.0,0.0,798.0845969672786,2506.0,0,0,399.0422984836393,0,0,0,1.0,0.0,0.0
28,38132,6,5273,1,1,0.0,0.0,379.29072634174094,5273.0,0,0,189.64536317087047,0,0,0,1.0,0.0,0.0
29,80,6,4517018,3,6,318.0,277.3953966975558,1.9924649403655244,564627.2500000001,0,0,1.3283099602436828,0,0,0,2.0,0.0,0.0
30,56542,6,3132,1,1,0.0,0.0,638.5696040868455,3132.0,0,0,319.2848020434228,0,0,0,1.0,0.0,0.0
31,80,6,32169,4,3,268.0,37396.25104914669,217.60079579719604,5361.5,0,0,93.25748391308402,0,1,0,0.0,0.0,0.0
32,57538,6,1717,1,1,0.0,0.0,1164.8223645894002,1717.0,0,0,582.4111822947001,0,0,0,1.0,0.0,0.0
33,50847,6,9043,1,1,0.0,0.0,221.16554240849274,9043.0,0,0,110.58277120424637,0,0,0,1.0,0.0,0.0
34,56948,6,58090,2,1,0.0,0.0,51.64400068858667,29045.0,0,0,17.214666896195556,0,0,0,0.0,0.0,0.0
35,49976,6,701,3,4,488.0,925820.2567760342,9985.73466476462,116.83333333333331,0,0,5706.134094151214,0,0,0,1.0,0.0,0.0
36,80,6,39,1,1,0.0,0.0,51282.05128205128,39.0,0,0,25641.02564102564,0,0,1,1.0,0.0,0.0
37,47500,6,13414,1,1,0.0,0.0,149.09795735798417,13414.0,0,0,74.54897867899209,0,0,0,1.0,0.0,0.0
38,80,6,1386,4,3,333.0,914862.9148629148,5050.50505050505,231.0,0,0,2164.5021645021648,0,1,0,0.0,0.0,0.0
39,80,6,4628338,4,4,329.0,273.100192768981,1.7284822327150695,661191.1428571428,0,0,0.8642411163575348,0,0,0,1.0,0.0,0.0
40,55187,6,3100677,8,8,1173.0,892.0632494129508,5.1601634094747695,206711.8,0,0,2.5800817047373847,0,0,0,1.0,0.0,0.0
41,45132,6,34114,1,1,0.0,0.0,58.62695667467902,34114.0,0,0,29.31347833733951,0,0,0,1.0,0.0,0.0
42,49591,6,27,2,0,0.0,0.0,74074.07407407407,27.0,0,0,0.0,0,0,0,0.0,0.0,0.0
43,49167,17,15178,1,1,139.0,11793.385162735538,131.76966662274344,15178.0,0,0,65.88483331137172,0,0,0,1.0,0.0,0.0
